,avg_iou,median_iou,success_50,success_75,fps,frames,battery_start,battery_end,energy_consumed_j,energy_consumed_wh,ostrack_only_energy_j,energy_saved_j,energy_saved_percent,ostrack_frames,siamapn_frames,skip_frames,mode_switches,time_s
uav_bike1,0.7027903146345525,0.7012894373606309,88.09987029831387,41.73151750972763,64.02727176934467,3084,65.41952654711847,60.24108051032049,279.63608598709106,0.07767669055196974,4626.0,4346.363914012909,93.95512135782337,0,3084,0,1,48.166975021362305
uav_bike2,0.13709650402236642,0.0,16.847826086956523,7.789855072463768,20.44309705031021,552,95.51406810921512,82.67319547708249,693.4071221351624,0.19261308948198955,828.0,134.59287786483765,16.255178486091502,552,0,0,0,27.001779556274414
uav_bike3,0.23004797082338127,0.0,28.935185185185187,15.972222222222221,19.53406764912949,432,97.3042255954601,86.67171856264183,574.1553797721863,0.15948760549227398,648.0,73.84462022781372,11.395774726514462,432,0,0,0,22.115209579467773
uav_bird1_1,0.24393091663504124,0.09244839633502316,26.190476190476193,3.571428571428571,19.440545418809904,252,77.8227265619038,71.57585290499513,337.33117747306824,0.09370310485363006,378.0,40.66882252693176,10.758947758447556,252,0,0,0,12.962599277496338
uav_bird1_2,0.06619396895857169,0.03850917966660143,3.7037037037037033,1.1396011396011396,36.04241506197165,702,75.52942184455931,68.97800586690468,353.7764627933502,0.0982712396648195,1053.0,699.2235372066498,66.4029949863865,226,476,0,1,19.477052211761475
uav_bird1_3,0.11501732999400965,0.0,14.930555555555555,4.74537037037037,67.31017502215933,864,70.30385741204636,68.6050448566626,91.73587799072266,0.025482188330756293,1296.0,1204.2641220092773,92.9216143525677,14,850,0,1,12.836097955703735
uav_boat1,0.9188573610857901,0.9227181366047412,100.0,100.0,24.089454497446905,900,86.29470341884151,69.50901645791474,906.4270958900452,0.25178530441390146,1350.0,443.57290410995483,32.85725215629295,665,235,0,1,37.36074638366699
uav_boat2,0.9329512748810661,0.9351862299843745,100.0,100.0,29.560885568216264,798,79.7046775002505,69.12318285982951,571.4007105827332,0.15872241960631475,1197.0,625.5992894172668,52.26393395298804,396,402,0,1,26.995131731033325
uav_boat3,0.8946007872480897,0.9197372916674805,100.0,94.55555555555556,19.535663190204442,900,98.56953677000229,76.43406212788446,1195.3156306743622,0.33203211963176726,1350.0,154.68436932563782,11.458101431528728,900,0,0,0,46.0695903301239
uav_boat4,0.8528222395680753,0.8470635040053873,100.0,99.63768115942028,19.574283528488653,552,92.03937899477759,78.6297964990882,724.1174547672272,0.2011437374353409,828.0,103.88254523277283,12.546201115069183,552,0,0,0,28.200265884399414
