,avg_iou,median_iou,success_50,success_75,fps,frames,energy_j,energy_wh,time_s
uav_bike1,0.8692012082110623,0.882959742782846,100.0,94.26070038910505,19.89134826057521,3084,4626.0,1.285,155.0422806739807
uav_bike2,0.13709650402236642,0.0,16.847826086956523,7.789855072463768,18.558367416037274,552,828.0,0.23,29.743995666503906
uav_bike3,0.23004797082338127,0.0,28.935185185185187,15.972222222222221,18.65445490609134,432,648.0,0.18,23.15800714492798
uav_bird1_1,0.24393091663504124,0.09244839633502316,26.190476190476193,3.571428571428571,18.4297926929371,252,378.0,0.105,13.67351245880127
uav_bird1_2,0.14576841804903987,0.06539627774313775,11.965811965811966,5.270655270655271,18.488907000189208,702,1053.0,0.2925,37.96871280670166
uav_bird1_3,0.2399499363625701,0.0,27.314814814814813,17.01388888888889,18.012378049470595,864,1296.0,0.36,47.96701455116272
uav_boat1,0.914366935809953,0.9169050422140212,100.0,100.0,18.442915630528923,900,1350.0,0.375,48.79922556877136
uav_boat2,0.9528825476766718,0.9545780565982483,100.0,100.0,18.486691174747815,798,1197.0,0.3325,43.16618871688843
uav_boat3,0.8946007872480897,0.9197372916674805,100.0,94.55555555555556,18.369058171037473,900,1350.0,0.375,48.99543523788452
uav_boat4,0.8528222395680753,0.8470635040053873,100.0,99.63768115942028,18.193796605549387,552,828.0,0.23,30.340011596679688
uav_boat5,0.9266721255045444,0.9266609911176825,100.0,100.0,18.27317009878518,504,756.0,0.21,27.58142113685608
uav_boat6,0.8427994298002687,0.8454375822182703,100.0,94.40298507462687,18.68833061969391,804,1206.0,0.335,43.021499156951904
uav_boat7,0.9124559469560088,0.9144609373509087,100.0,99.625468164794,18.519920853193682,534,801.0,0.2225,28.833816528320312
uav_boat8,0.7053142566653029,0.6889733991241282,96.19883040935673,37.42690058479532,18.674862478368592,684,1026.0,0.285,36.62677574157715
uav_boat9,0.8170026241366849,0.8350089494361167,99.35622317596567,80.97281831187411,19.91193940247858,1398,2097.0,0.5825,70.20913290977478
uav_building1,0.8771748419478137,0.880412499273864,100.0,100.0,18.42283874798663,468,702.0,0.195,25.40325117111206
uav_building2,0.8386585612095835,0.8564912156479226,98.95833333333334,89.40972222222221,18.460862139362032,576,864.0,0.24,31.20114302635193
uav_building3,0.786240501475244,0.7906391409425755,100.0,75.0,19.765755557759665,828,1242.0,0.345,41.89063239097595
uav_building4,0.6970235926934465,0.693762912765387,100.0,19.21119592875318,18.373165745427897,786,1179.0,0.3275,42.779780626297
uav_building5,0.8383318691307812,0.8474841119846994,100.0,85.20833333333333,18.746250616575207,480,720.0,0.2,25.605120182037354
uav_car1_1,0.922964724103184,0.9249339792078215,100.0,100.0,18.224125867599305,750,1125.0,0.3125,41.154237270355225
uav_car1_2,0.8802754081089889,0.9094531604715097,97.14611872146118,96.68949771689498,18.04641235239129,876,1314.0,0.365,48.54150414466858
uav_car1_3,0.5233702893036144,0.8843793089109929,56.58682634730538,56.58682634730538,18.405282323127956,1002,1503.0,0.4175,54.440892696380615
uav_car10,0.8694125290067063,0.8821683145522317,99.64387464387464,96.65242165242165,18.448627312727922,1404,2106.0,0.585,76.10322308540344
uav_car11,0.20440601897058924,0.0,27.67857142857143,8.035714285714286,17.895458460553858,336,504.0,0.14,18.775713443756104
uav_car12,0.508856130501614,0.7766083617034805,58.835341365461844,52.610441767068274,18.349751049392584,498,747.0,0.2075,27.13933277130127
uav_car13,0.7117612891787769,0.7445185191579073,95.16908212560386,47.34299516908212,18.64811608307761,414,621.0,0.1725,22.200634002685547
uav_car14,0.6070936510775051,0.7346750286434887,79.86425339366517,43.96681749622926,18.41429943530865,1326,1989.0,0.5525,72.00925588607788
uav_car15,0.6553717415305854,0.6689332564334163,86.75213675213675,26.923076923076923,18.346235963748267,468,702.0,0.195,25.50931978225708
